,Core,R1,R2
146,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],[H][*:1].c1ccc(CSC[*:1])cc1,CCOC(=O)c1cccc([*:2])c1
147,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],[H][*:1].c1ccc(CSC[*:1])cc1,Cc1ccc([*:2])cc1F
148,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],[H][*:1].c1ccc(CSC[*:1])cc1,COc1c(F)cc(F)cc1[*:2]
149,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],[H][*:1].c1ccc(CSC[*:1])cc1,Cc1ccc(F)c([*:2])c1Cl
150,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],CC(C)C[*:1].[H][*:1],c1ccc([*:2])cc1
151,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],CC(C)C[*:1].[H][*:1],Brc1ccc([*:2])cc1
152,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],CC(C)C[*:1].[H][*:1],O=[N+]([O-])c1cccc([*:2])c1
153,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],CC(C)C[*:1].[H][*:1],Cc1ccc([*:2])cc1
154,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],CC(C)C[*:1].[H][*:1],c1ccc2c(c1)oc1c([*:2])cccc12
155,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],CC(C)C[*:1].[H][*:1],c1ccc2c(c1)Sc1cccc([*:2])c1S2
156,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],CC(C)C[*:1].[H][*:1],CSc1ccc([*:2])cc1
157,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],CC(C)C[*:1].[H][*:1],FC(F)(F)c1cccc([*:2])c1
158,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],CC(C)C[*:1].[H][*:1],O=[N+]([O-])c1ccccc1[*:2]
159,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],CC(C)C[*:1].[H][*:1],Cc1ccc([*:2])cc1[N+](=O)[O-]
160,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],CC(C)C[*:1].[H][*:1],CC(=O)Nc1cccc([*:2])c1
161,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],CC(C)C[*:1].[H][*:1],Fc1cccc([*:2])c1
162,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],CC(C)C[*:1].[H][*:1],COc1ccccc1[*:2]
163,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],CC(C)C[*:1].[H][*:1],Clc1ccccc1[*:2]
164,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],CC(C)C[*:1].[H][*:1],Fc1ccccc1[*:2]
165,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],CC(C)C[*:1].[H][*:1],CCOc1ccccc1[*:2]
166,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],CC(C)C[*:1].[H][*:1],OCc1ccc([*:2])cc1
